number,address,lat,lon,mon,tue,wed,thu,fri,sat,sun
18,"GLODENI, SUVERANITATII, 6",47.773402,27.516187,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
19,"BASARABEASCA, K MARX, 63",46.33199,28.963206,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
20,"CHISINAU, DOMENIUC, 12",47.056262,28.891907,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00
21,"CHISINAU, VOLUNTARILOR, 9",47.007278,28.893346,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
22,"VADUL LUI VODA, STEFAN CEL MARE SI SFINT, 38",47.088355,29.079643,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
23,"CHISINAU, TESTEMITEANU NICOLAE, 39",46.990342,28.827236,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–22:00,08:00–22:00
24,"CHISINAU, MUNCESTI, 402",46.982014,28.896812,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–22:00
25,"CHISINAU, MIORITA, 6",46.997269,28.80823,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,09:00–23:00
26,"RISCANI, INDEPENDENTEI, 32",47.952022,27.560856,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
27,"STAUCENI, MATEEVICI ALEXIE, 9",47.10712,28.863527,08:00–23:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
28,"TARACLIA, LENIN, 136",45.895974,28.668119,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
29,"COMRAT, LENINA, 201",46.29732,28.656259,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00
30,"CEADIR - LUNGA, LENINA, 79",46.058803,28.822423,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
31,"CHISINAU, ALBA-IULIA, 204",47.041748,28.763912,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00
32,"DURLESTI, VLADIMIRESCU TUDOR, 204",47.027098,28.773474,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00
33,"CHISINAU, GRENOBLE, 128",46.981484,28.838635,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00
34,"CHISINAU, DACIA, 16",46.989031,28.852394,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–22:00
35,"CHISINAU, CREANGA ION, 32",47.032025,28.804177,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–22:00
36,"CHISINAU, DECEBAL, 59",47.000556,28.860422,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00
37,"CHISINAU, SCIUSEV ALEXEI, 98",47.024279,28.821611,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–22:00
38,"CHISINAU, MIORITA, 11",46.992406,28.819441,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00
39,"CHISINAU, COSTIN MIRON, 65",47.050249,28.866926,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,09:00–22:00
